date,airPressure_outside_fall,airPressure_outside_max,airPressure_outside_mean,airPressure_outside_min,airPressure_outside_rise,hour_group,humidity_outside_fall,humidity_outside_max,humidity_outside_mean,humidity_outside_min,humidity_outside_rise,light_outside_max,light_outside_mean,light_outside_min,rain_outside_max,rain_outside_mean,rain_outside_min,temperature_outside_fall,temperature_outside_max,temperature_outside_mean,temperature_outside_min,temperature_outside_rise
05-13-2017 0,5,1001,1000.1470588235,999,8,0,35,92,80.5294117647,65,26,6,0.1764705882,0,0,0,0,11,19,16.4411764706,15,17
05-13-2017 1,5,1000,999.2571428571,999,5,1,40,91,68.5428571429,52,51,1929,629.2,19,0,0,0,31,25,20.8,15,17
05-13-2017 2,5,1000,999.0882352941,998,8,2,35,91,76.5882352941,66,35,550,242.9411764706,77,21,6.2941176471,0,14,23,21.8823529412,20,8
05-13-2017 3,11,1001,999.1176470588,998,2,3,32,72,66.9411764706,63,26,244,44.2647058824,0,0,0,0,0,23,20.9411764706,18,14
05-14-2017 0,8,1013,1007.0588235294,1001,0,0,29,80,77.0882352941,70,20,11,0.4117647059,0,0,0,0,11,17,15.0882352941,14,14
05-14-2017 1,11,1006,1003.8285714286,1002,0,1,28,77,66.8,58,45,1267,444.2285714286,26,0,0,0,25,22,18.8,15,8
05-14-2017 2,5,1008,1006.5588235294,1006,0,2,29,67,59.7941176471,51,47,620,346.2058823529,145,20,1.0294117647,0,14,23,21.1470588235,20,20
05-14-2017 3,14,1012,1009.9117647059,1008,2,3,41,82,76.3235294118,64,20,113,25.0882352941,0,23,4.8823529412,0,0,20,16.5588235294,15,14
05-15-2017 0,2,1016,1014.5,1013,0,0,44,83,70.5555555556,57,25,19,0.7222222222,0,0,0,0,5,18,15.8333333333,14,13
05-15-2017 1,14,1016,1014.7941176471,1013,5,1,23,82,67.6470588235,54,47,2410,718.1176470588,32,1,0.0588235294,0,26,22,18.0588235294,14,17
05-15-2017 2,5,1016,1015.1176470588,1014,8,2,35,65,59.6764705882,56,35,619,312.7352941176,114,0,0,0,8,21,20.1176470588,20,8
05-15-2017 3,5,1016,1015.0588235294,1014,0,3,50,81,64.2647058824,56,23,145,25.7941176471,0,0,0,0,11,21,18.9117647059,17,20
05-16-2017 0,0,1016,1014.8235294118,1013,5,0,44,86,82.7352941176,77,32,30,1.2941176471,0,21,6.6857142857,0,2,17,15.1470588235,14,5
05-16-2017 1,2,1016,1015.7647058824,1015,0,1,26,85,53.3235294118,32,58,3147,1284.5882352941,61,0,0,0,38,27,20.8235294118,13,23
05-16-2017 2,2,1016,1014.2941176471,1013,11,2,50,46,40.8823529412,36,32,614,313.9705882353,116,0,0,0,17,24,22.7941176471,22,23
05-16-2017 3,2,1014,1013.5,1013,2,3,64,88,64.8529411765,43,14,174,29.5,0,21,5.7941176471,0,5,23,19.4705882353,17,20
05-17-2017 0,2,1013,1012.8529411765,1012,2,0,26,80,69.7647058824,56,47,4,0.1176470588,0,6,0.4705882353,0,8,16,15.1470588235,13,17
05-17-2017 1,2,1014,1013.0294117647,1013,2,1,14,77,57.7352941176,43,52,2911,1271.9411764706,10,1,0.0294117647,0,29,24,19.6764705882,15,8
05-17-2017 2,2,1013,1011.8529411765,1011,8,2,35,50,44.0882352941,39,26,658,355.4117647059,186,0,0,0,2,22,21.7352941176,20,8
05-17-2017 3,5,1013,1012.2,1011,0,3,54,76,65.6571428571,50,14,171,37,0,0,0,0,0,20,17.8,16,11
05-18-2017 0,2,1013,1010.7941176471,1008,8,0,35,69,59.7941176471,54,23,28,1.2941176471,0,0,0,0,8,15,13.4705882353,12,11
05-18-2017 1,2,1014,1013.1176470588,1013,2,1,8,55,40.5882352941,24,52,3383,1366.8529411765,49,0,0,0,32,24,17.5588235294,12,14
05-18-2017 2,0,1013,1011.3142857143,1010,8,2,37,31,28.3714285714,26,25,576,186.7142857143,127,0,0,0,14,21,20.6,20,14
05-18-2017 3,2,1010,1009.205882353,1009,5,3,44,64,45.4117647059,29,32,127,36.7647058824,0,0,0,0,8,22,18.8823529412,15,17
05-19-2017 0,0,1008,1006.8823529412,1005,5,0,35,82,67.7352941176,56,35,8,0.3235294118,0,0,0,0,14,20,14.5588235294,13,14
05-19-2017 1,2,1009,1008.6470588235,1008,0,1,26,63,46.2058823529,32,52,2805,906.2941176471,15,0,0,0,29,26,20.2941176471,14,20
05-19-2017 2,0,1009,1007.5142857143,1006,8,2,51,42,36.6,28,34,675,336.1714285714,101,0,0,0,11,23,22.1142857143,21,17
05-19-2017 3,2,1007,1006.1764705882,1006,2,3,61,72,55.7941176471,43,5,78,22.0882352941,0,0,0,0,0,21,18.5,16,14
05-20-2017 0,5,1005,1002.2941176471,999,8,0,32,94,78.4705882353,69,41,20,0.9117647059,0,16,4.1176470588,0,11,21,15.2352941176,14,11
05-20-2017 1,2,1004,1003.3235294118,1002,8,1,20,74,63.1764705882,49,52,2750,415.6470588235,37,0,0,0,32,23,17.8529411765,14,8
05-20-2017 2,5,1003,1001.4571428572,1001,8,2,51,93,64,56,42,658,238.4,14,19,4.2857142857,0,25,22,20,17,25
05-20-2017 3,2,1000,999.9705882353,999,2,3,32,97,93.2352941176,87,32,160,25.5294117647,0,13,12.0882352941,11,2,18,16.8823529412,16,8
05-21-2017 0,6,1003,1001.5757575758,1000,6,0,44,80,70.4705882353,62,20,22,1.0303030303,0,0,0,0,5,20,15.0588235294,13,11
05-21-2017 1,8,1003,1002.2571428572,1001,2,1,28,84,54.7714285714,29,54,3071,1039.0571428572,35,0,0,0,31,24,17.8,12,14
